file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
BAC009S0124W0472,0.0,3.838875,S0124,-48.50462849934896,-47.69010516575405,13.123774325649185,13.340940059546504
BAC009S0162W0420,0.0,4.6120625,S0162,-50.19907046502169,-50.39677347455706,13.118598868593063,8.840390499873337
BAC009S0114W0363,0.0,7.187,S0114,-44.184680328581365,-50.14993190765381,13.115762414347124,12.589668945160469
BAC009S0245W0263,0.0,4.241,S0245,-40.35345113502358,-43.45807883853004,13.114353284613292,10.55764508446892
BAC009S0148W0161,0.0,6.054,S0148,-46.9996965392562,-46.87187374659947,13.114353284613292,6.548970396146142
BAC009S0908W0442,0.0,7.063,S0908,-44.83216680683428,-46.350506389842316,13.098199132289476,5.948966361803066
BAC009S0713W0193,0.0,5.667125,S0713,-46.92346643518518,-48.96503469679091,13.092459301954792,9.71394076060091
BAC009S0903W0213,0.0,6.665875,S0903,-46.97766936844078,-48.33810340033637,13.077295746402585,13.578174009197532
BAC009S0019W0329,0.0,3.25,S0019,-48.11061298076923,-52.31318283081055,13.077234595039194,9.87983418005835
BAC009S0748W0357,0.0,3.837125,S0748,-46.06877644856771,-47.107872856987846,13.033609875891338,8.27163741832398
BAC009S0016W0435,0.0,10.6079375,S0016,-40.65344456880302,-45.329405015514745,13.005938491139407,7.185769925026197
BAC009S0726W0204,0.0,5.121,S0726,-46.55837631225586,-49.28692499796549,12.998607228516635,6.387066646876502
BAC009S0760W0224,0.0,5.1219375,S0760,-47.65365219116211,-49.994901320513556,12.980800064960219,6.588621657521717
BAC009S0081W0469,0.0,6.7258125,S0081,-48.184519525445765,-51.44008168307218,12.944363368226082,10.57731701287734
BAC009S0114W0326,0.0,4.7790625,S0114,-43.07656413441423,-43.61755485534668,12.942153562825027,13.26576519820986
BAC009S0190W0412,0.0,8.6999375,S0190,-46.97354076867816,-48.59662200927735,12.872165449892902,11.662741870632146
BAC009S0103W0240,0.0,5.0699375,S0103,-47.405926405325445,-48.30615977237099,12.872158150048644,7.421259086562912
BAC009S0235W0326,0.0,3.3828125,S0235,-49.24797175480769,-52.2379145304362,12.860392976158234,9.756063289975183
BAC009S0151W0248,0.0,3.8559375,S0151,-47.92239617066062,-48.92498728434245,12.843356089622903,5.663364556278083
BAC009S0423W0357,0.0,5.94675,S0423,-45.16849067752101,-45.93315505981445,12.83789358875133,9.3014659176612
BAC009S0762W0440,0.0,4.048125,S0762,-50.07981288580247,-52.75994539260864,12.814014538107193,13.035214082475825
BAC009S0662W0262,0.0,6.9929375,S0662,-45.16931833422747,-47.49750833511352,12.814008999198295,10.023250569999544
BAC009S0906W0323,0.0,9.5849375,S0906,-43.82283647573069,-44.79512278238932,12.778540974643697,7.6206252257090235
BAC009S0715W0334,0.0,4.598125,S0715,-45.37610394021739,-48.321834066639774,12.772976580947292,8.506443812608424
BAC009S0232W0312,0.0,4.525875,S0232,-44.6782345129691,-46.77134189605713,12.76103871571307,8.460264929533803
BAC009S0042W0257,0.0,5.8979375,S0042,-48.94655389300848,-48.67093918540261,12.72858876727871,4.9849120969631535
BAC009S0078W0336,0.0,5.844,S0078,-47.87436122110445,-49.154964955647785,12.682294788646216,8.248331715657152
